id,source_website,source_label,source_url,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000011,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_663201,Ari L,2026-03-05,1.0,negative,"REMOVED app and website, when do you plan to fix it? They charge so much money for fees and have the slowest website always giving errors and freezing super annoying makes me want to quit buying here.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000012,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/69a668c678677f9763f65429,Andrew Rouse,2026-03-03,1,negative,"Absolutely appalling. Absolutely appalling. Apparently because someone has lived at my address previous to me I can't open an account with iaai as they said I have the same address as a previous account holder. They are going to regret discriminating against me because I will be taking it further. They sent an email saying they won't approve it because of the above reason, and that actually against discrimination laws. If they had just denied my account without reason that would be legal. Their reason is it legal and pathetic. Enjoy the fine coming your way.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000013,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24595358,BBB complainant,2026-03-03,1,negative,"Sales and Advertising Issues. I am filing this complaint regarding the inability to locate my vehicle after it was towed and allegedly transferred through auction channels connected to this company.Vehicle Information:2022 REMOVED Prius REMOVED : REMOVED Owner: REMOVED A. REMOVED I contacted Copart after attempting to locate the vehicle and was informed that they have no record of the vehicle in their system and that it was not moved by REMOVED . I was then instructed to contact IAA (Insurance Auto Auctions) because they are one of the auction companies responsible for picking up vehicles from tow yards for insurance REMOVED this time, my vehicle cannot be located, and I have not received clear information regarding whether the vehicle was picked up, processed, transferred, or scheduled for auction by IAA. As the registered owner of the vehicle, I am requesting immediate confirmation as to whether this REMOVED exists in IAAs system or whether the vehicle has ever been received, transferred, or processed by the company.This situation has caused significant concern because a vehicle cannot simply disappear within the towing and auction process without a documented chain of custody. I am requesting that IAA conduct a REMOVED search within their system and provide written confirmation of the vehicles status.Requested resolution: Confirmation whether the REMOVED exists in IAAs system Confirmation whether the vehicle was received from a tow yard The current location of the vehicle if it is in their possession Any documentation showing transfer, processing, or auction scheduling I am simply trying to locate my vehicle and determine where it is currently being held. REMOVED A. REMOVED Phone: REMOVED",Customer Service & Communication,Support Access & Response Time,Long Hold Time / Hard to Reach Support
rvw-000014,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,haja kadeba,2026-02-26,5,positive,best of the best app,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000015,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/6997153a66e9d6cdf7a34ca1,Sunrise,2026-02-19,1,negative,Purchased a 35 k car had crazy amount…. Purchased a 35 k car had crazy amount of fees on top the car had hidden damage way more then the hail in the pictures the pictures dont show the full damage and description of the cars be safe guys its not a good deal and the auctions are selling these cars which are not worth market value for full prices I could have just bought a fairly new clean title no claims car same car for 38k anywhere else,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000016,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_660772,Jasmine R,2026-02-18,1.0,negative,"REMOVED . If I could leave a zero I would. Steer clear of these crooks. If an issue arises, good luck getting any help. The manager REMOVED is terrible- will NEVER respond to emails or calls. We purchased a vehicle that had airbags listed and when the car was delivered you can clearly see that the airbags were blown and glued. This company is pure evil- stay away!!!",Customer Service & Communication,Communication Follow-up & Escalation,No Callback / Unresolved Case
rvw-000017,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24531263,BBB complainant,2026-02-16,1,negative,"Service or Repair Issues. My vehicle was repossessed towed to them, we paid 2000$ to get our car back upon the day we was to retrieve our vehicle we was told they took the ignition apart And was putting a new one in, we asked why they told us title max instructed them to we contacted title max they had no clue well to make a long story short, we have been waiting a week for them to supposedly get the part and put back together. They are a bunch rude people who works in the office very shady at this point we are seeking legal counsel!!! Ive had enough oh also I have on recording the lady from there office telling me to sue the REMOVED out of title max wow.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000018,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24523125,BBB complainant,2026-02-13,1,negative,Billing Issues. I was charged a late fee and was told to pay it and call customer service to get a credit... I was the told no refund and I was not allowed to speak to a supervisor I was hung up on twice call branch manager REMOVED in which I was not allowed to talk to by other employees....,Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000019,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Vitalie F,2026-02-08,1,negative,"Despite ripping off people with astronomical fees is showing only auctions in US, despite that I'm in UK.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000020,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Midnight Auto,2026-02-07,2,negative,"they have progressively told their employees to take the worst photos ever so you can't tell how bad the damage is, so you will over bid on a vehicle so they can make more money. Copart is way better.","Lot Condition, Listing Status and related",Lot Condition Reporting,Lot Damage
rvw-000021,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/698621d568f85821bc84e75f,Larry,2026-02-06,1,negative,IAAI misplaced my wire transfer into…. IAAI misplaced my wire transfer into another account - their error - and then charged me storage fees while they try to fix the problem. Two days later I am still trying to pay for my vehicle with the funds already sent in. Their local offices are great but their national buyer services department is beyond unhelpful. Try Copart instead,Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000022,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24477105,BBB complainant,2026-02-02,1,negative,Sales and Advertising Issues. A ex-employee went on my computer and purchased the vehicle without my permission I don't know how he got four assets in my account I had to call by your service before the incident to see if I could get an extra security on my account I was told by a supervisor they didn't have a password option for when you call IAA or sending a password to confirm the owner is calling I think they should work on a better security issue with phone calls but I need help to get out this situation I'm a good customer of REMOVED I respect your business and never had an issue like this before I fired the employee for hacking into my computer I really appreciate if they can work with me and get this car off my account things are slow really right now but I can do 5500 for not purchasing the vehicle I will hate to have my account shut down but I'm willing to do my best to help the company in this hard time I'm working on doing the two step security for the account now so I can have better security on line I know it's not your fault someone hacked into my account to bid on vehicles that's on my account but as a company I know you can understand the history I have with the company I never had an issue I always pay for my car and I always respect the good job IAA provide for me I will look forward to working with IAA in the future please help me out in this situation I greatly appreciate it I have 5500 to negotiate the renege fee I'm a long time customer I like doing business with REMOVED and want to be a lifelong customer if I have problems management always there to help this time they don't even want to help very nasty attitude of REMOVED branch manager let's grow together and keep business going strong please help me in this hard time My buyer number REMOVED .,Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000023,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24463070,BBB complainant,2026-01-30,1,negative,"Billing Issues. On Saturday 12-24-2026, I had submitted the document form to purchase a buyer account with REMOVED . Upon submission, an error message had occurred that there was a technical issue with payment and to try again later. After reviewing my input of financial information, I determined I had been correct with entering information and made the second attempt. Upon this second attempt, the same message occurs. I contacted support to help me obtain an upgraded public buyer's account, and during the wait time to connect with an agent, my banking account indicated that I had actually been charged twice already the initial $200 fees to yield for my account purchase. I check my profile and after charges were made, my account still states it's in guest status. After speaking with support, I was told that my transactions were not accepted by IAA due to them being voided, although I did not void them upon my behalf and the funds were instantly debited from my account to REMOVED . I was told that because they were voided, the bank will reissue my funds to credit my account within 2-3 days at max and IAA never received them. It has now been 5 days, I've spoken to support via live chat and by text message without any difference of help, and I still do not have my $400 that was taken from me. It's quite evident that IAA did in fact receive my funds and are refusing to refund my money. If my transactions were truly voided as they say, then generally in my experience a voided transaction is processed that same day. It's been almost a week now and I've grown impatient with the company. I no longer desire to do business with this establishment and after reading many other reviews at any given branch, I wouldn't recommend them to anyone as their conduct of operations appear to be faulty and, in my case, fraudulent. I request I receive compensation promptly for my losses immediately, and if my request is not met, legal action will be pursued. This type of conduct is unacceptable and is considered theft.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000024,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_656751,Meron T,2026-01-22,1.0,negative,Sold me a car that wouldnt start nor run & drive. Totally opposite of what the car was listed as on the website. Will NEVER purchase a car from this location. Dishonesty and extortion is the name of the game here.IAA REMOVED,"Lot Condition, Listing Status and related",Listing Status,Selling/ Relisting vehicle or Parts purchase
rvw-000025,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Keith Gibson,2026-01-19,1,negative,This app is not allowing me to pay with my Credit Card. You also can't have more than one device signed in to bid. This app has great potential if updated to the customers request is taken seriously.,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000026,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24392484,BBB complainant,2026-01-13,1,negative,Service or Repair Issues. My vejicle was towed to IAA and parts were stolen off of my vejicle. IAA claims they are not lyable,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000027,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_655249,Jose O,2026-01-12,1.0,negative,"Bought cars since Nov 2025 and didn't receive titles for them,still waiting for a response from branch manager for weeks now on resolving this issue and have not heard from him very unprofessional",Customer Service & Communication,Case Resolution Quality,Issue Not Resolved
rvw-000028,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/695c19337f7c7cb6efb8fcda,Shawn,2026-01-05,1,negative,This auction is a complete scam to the…. This auction is a complete scam to the general population and public . There live auctions are a very big scam and rigged up to the maximum look at the reviews on trust pilot? All these auctions are a complete scam . Stay away from them at all costs and do not trust trust pilot as it's another corrupt company too they are breaking all gdpr rules there's is nothing you can do it about this company also known as motorhog it has a very bad reputation in the market,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000029,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Great Lawrence,2026-01-05,2,negative,"This app has potential if only the developers can look into it "" After tapping the accept option it doesn't go it stays there"" The app is so buggy",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000030,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_653193,Charlie W,2025-12-30,1.0,negative,"Worse Auc*ion in *he world,I have over 7 million spen* over 16 years wi*h iaa. Im finally done, I hi* my breaking poin*. ye* *hey have *he nerve *o *ry and respond *o *hese horrible reviews, how you guys even phan*om a response, you don * have 1 good review ou* of hundreds? Tha* says every*hing in i*self.fees are ou*rageous, bough* a car *ha* says run and drive and i* was missing *he compu*er, *ha*'s like saying your ice ska*ing on a pond when i*s 90 degrees ou*side, jus* s*raigh* lies.. And as far as offering people *o come see *he REMOVED , nor your french road REMOVED holding loca*ions, offer viewing.",Customer Service & Communication,Communication Follow-up & Escalation,No Callback / Unresolved Case
rvw-000031,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24338253,BBB complainant,2025-12-30,1,negative,"Service or Repair Issues. Purchased 2022 REMOVED Camper online (via Buy it Now) from IAAI on Dec 22nd 2025. The only issue that was listed online was hail damage that I agreed upon, so there should be no more. Also speak with IAAI customer service about how exactly pick-up process works for camper and they told us that staff on side will move the camper outside, either theyll tow it to main parking lot or bring it out with crane. Went on site on Dec 23rd 2025 to pick up the camper. On the counter, site manager REMOVED was serving customers. After getting payment, she forced us to get vibrant color waist otherwise she wouldnt let us get the vehicle. She refused us to let use the one that was hanging around that no one was using. We explained her that the red shirt I was wearing also considered as vibrant color but she refused to accept any of the fact and kept saying that if we will argue, she would ask us to leave. When I asked to speak with a manager, thats where she said shes the manager there. As I walked out, some other customer gave me their waist to make thing easy so she finally moved on from that argument but she made it clear that no one would help us with camper. Anyway, we got the camper and thats where we realized there are more issues than advertised. Camper wires were cut-off, no battery and trailer REMOVED was bent (at least that was shown in pics) so it wasnt easy to move the camper. We asked for help and were told that we should have been prepared as these guys dont help with it. Somehow we brought camper home and later realized that it wasnt even winterized as shown in the pictures. Water tank, heater still had fresh water in it that bushed the pipes and leaked all around, that I made video and took pictures including issues with cut-off wiring. Called IAAI on Dec 24th and spoke with agent name REMOVED on this. He escalated to their upper management and theyll get back to me within REMOVED hours under Case No. REMOVED . Its been 4-5 days now, no response yet.",Customer Service & Communication,Case Resolution Quality,Escalation Required
rvw-000032,play.google.com,Google Play (com.iaa.mobile.IaaTow),https://play.google.com/store/apps/details?id=com.iaa.mobile.IaaTow&hl=en&gl=us,Mary Scott,2025-12-26,5,positive,"IAA great/ loaders operator in the Wichita Ks yard, I would, whether step in honey and walk across a red ant hill before dealing with them.",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000033,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24296359,BBB complainant,2025-12-19,1,negative,"Product Issues. I purchased a vehicle from Insurance auto auction the end of last year 2024. I over paid for the vehicle by $232.00 dollars. I had a refund do and it was never sent. I completed the paper work on the site for the refund but never received it. I spoke to an REMOVED during that time that advised me of them sending my refund. I contacted IAAI asking about refund I spoke with an REMOVED a lead person. She would not tell me what department she worked in nor would she allow me to speak with her manager. She told me to talk to REMOVED because she was the one who promise me an refund. "" I cant give you a refund because it has been over a year"". It has been over a year because they have not sent me my refund. I send the money because they said I owe it. When I had an explanation, they told me they would send me the remaining refund back to. I do not have money to throw away. I am very disappointed to on how I was treated by REMOVED , she is not a very good representative for your company. I tried to be polite and tried to explain to her, all i wanted was to get my refund. I am not a business. I bought one vehicle.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000034,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_651624,jimbo N,2025-12-17,1.0,negative,"This business is NOT BBB accredited, so ask yourself why.Super suspicious.This company is 100% hiding pertinent information about the damaged cars they sell. They are hiding mileage numbers, and they are hiding running/damage information. its ""company policy"" and they will refuse to explain anything, just repeat boilerplate like robots.Smells REMOVED the past iaai may have been more honest than copart, but i treat them the same now. Be warned","Lot Condition, Listing Status and related",Lot Condition Reporting,Lot Damage
rvw-000035,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints?page=2#0654_88276839_24275790,BBB complainant,2025-12-15,1,negative,"Billing Issues. Subject: Formal Complaint Against IAAI Account Closure Without Explanation I am submitting this formal complaint against IAAI (Insurance Auto Auctions) regarding the sudden and unjustified closure of my account without any clear explanation or prior notice.I was not contacted in advance, nor was I given any opportunity to understand the reason for the closure or to defend myself. When I attempted to reach customer support, I did not receive a clear explanation, and no fair or impartial investigation appears to have been conducted. It seems that this decision was made based solely on an internal report without reviewing my side of the matter.This action has caused me significant financial harm, as I rely on my IAAI account as a source of income, in addition to emotional and psychological stress due to the lack of transparency and fairness in handling this situation.Through this complaint, I respectfully request:A written and official explanation for the account closure Confirmation of whether any proper investigation was conducted A review of the decision and reinstatement of my account if no wrongdoing is found I am willing to fully cooperate with any fair investigation and have attached any relevant communications or supporting documents.Thank you for your time and assistance.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000036,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Crona sus,2025-12-10,1,negative,"Trash app for real , keeps glitching all the time can't even log in to my account, one of the worst apps i've used so far",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000037,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints?page=2#0654_88276839_24234863,BBB complainant,2025-12-05,1,negative,Service or Repair Issues. We picked up the vehicle from IAA REMOVED From the lot so we had paid the fees and the worker brought are car out and had no air on both front tire and back passenger side of tire was torn apart and rim was damaged along with the tired I had called thousands time to resolve this matter and the secretary keep ignoring my message to the manager or whoever is in charge they did show us a picture when the vehicle came in and had no damage at all and it was only month old tire I couldnt go to work past REMOVED no response so obviously they dont care but I am gonna do a claim to the police there was no apology or just ignored everything I know it could be tough towing a car but where the rim is bent and the tires are flat I would love to settle with th before I put a lawsuit against th,Customer Service & Communication,Support Access & Response Time,Delayed Email/Phone Response
rvw-000038,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints?page=2#0654_88276839_24210691,BBB complainant,2025-12-01,1,negative,"Service or Repair Issues. I am filing this remarkable complaint against Insurance Auto Auctions (IAA) due to a deeply troubling and unresolved issue. On May [date], I purchased a vehicle through IAA and was wrongfully charged twice for the exact same transaction. Despite my diligent efforts to contact IAA and request a refund of the duplicate payment, the company has refused to correct their error or return my funds.This situation is entirely unacceptable. As a consumer, I find IAAs disregard for resolving this matter both unprofessional and unethical. I am requesting that the Better Business Bureau take immediate action to ensure IAA is held accountable and that I receive a prompt and full refund for the duplicate charge without any further delay.This is not just about my individual caseit is about ensuring that other consumers are not subjected to similar negligence. I trust the BBB will treat this matter with the urgency it warrants and assist in bringing this issue to a swift and fair resolution.Thank you for your immediate attention",Customer Service & Communication,Case Resolution Quality,Issue Not Resolved
rvw-000039,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/6929d0a008813c0ba49fe2b1,GBChoice,2025-11-28,1,negative,"Don't place bids. Don't place bids. Lately, the system has been automatically stacking bids. If you place a bid, they'll automatically approach the maximum stack to take all your money. I've been buying on this auction for seven years, but now they've turned into scammers. They also claim the title is clean, but a month after purchase, it becomes a total loss (salvage).",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000040,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Direct One Auto,2025-11-27,1,negative,For the price gouging buyers fees you would think the app was close to flawless. The app is so glitchy to the point that you have to literally log out and wait until you get to your desktop. The number two issues that are the most frustrating is when you are trying to update the distance the app continues to load and never allows us to plug in the distance. The next nerve wrecking issue would be whenever a vehicle search is being executed this app goes back to the top of the list when you go bac,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000041,play.google.com,Google Play (com.iaa.mobile.IaaTow),https://play.google.com/store/apps/details?id=com.iaa.mobile.IaaTow&hl=en&gl=us,JuanJose Mendivil,2025-11-26,2,negative,"It might be my phone specifically. But this app closes itself after 20-30 seconds. It also starts to lag up like 5 seconds after it's done loading, which i couldn't tap into anything. the only time I can actually use it without it force quitting is to tap into my notification whenever the assignment pops up. And the notification disappears everytime I tap it, so I gotta make it count.",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000042,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints?page=2#0654_88276839_24187756,BBB complainant,2025-11-24,1,negative,"Service or Repair Issues. On 7/29/2025 my car was hit by another driver. During this process I was given a number to IAA title procurement company. I sent my original title to IAA and had my repairs completed and was told to wait for my title to come in the mail, however IAA sent my title to a different address, REMOVED delivered my title to a completely different address that IAA gave them. This happened 2 times resulting in me receiving my title 4 months later. This complete lack of care has resulted in me receiving 2 traffic tickets also my tag to my car being confiscated by a law enforcement officer due to my car not being registered. I've completed the repairs to my car months before receiving my title from IAA, also IAA called me mo. this after my repairs and stated that all. I had to do was wait for my title to come in the mail and there was nothing else that I had to do nor worry about, however now my car is not eligible to be registered in my state of residence due to not taking my title to the dmv with proof of my repairs during the time period I had to complete it. I was not able to complete the initial process of getting my car title corrected by the dmv due to not having my title sent to me by IAA until 4 to 5 months after I sent my original title to IAA. Now I have a car that I can't get registered also traffic tickets due to IAA's negligence when it came to them sending me a salvaged title. Now I'm over REMOVED in debt over this complete matter. I paid REMOVED fir my car, had to pay to buy my car back, and now traffic tickets that I have been paying off.",Membership / Licensing / Fees & Bidding Policies,Auction Eligibility & Licensing,Unable to Bid
rvw-000043,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews?page=2#0654_88276839_646935,Corl C,2025-11-22,1.0,negative,"Iaai no longer operates as a legitimate auction. Winning a vehicle only to have the sale immediately declined and transferred to Buy Now undermines the entire purpose of an auction process. This happens all the time. At this point, it functions no differently than a conventional car dealership especially in the case of Progressive. The situation has become quite frustrating. A total joke.",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000044,play.google.com,Google Play (com.iaa.mobile.IaaTow),https://play.google.com/store/apps/details?id=com.iaa.mobile.IaaTow&hl=en&gl=us,Bud Young,2025-11-19,1,negative,Since the use of this app service has slowed down a lot.,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000045,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/691c42a1ce863fc9dda205af,Steve,2025-11-18,1,negative,Won a ford focus in iaa was from…. Won a ford focus in iaa was from Doncaster the car has finance owed when I did hpi check diddent pay for it as you cant even contact them no more on live chat i sent them an email still nothing back from hhem account is now suspended iaa is shocking place to buy from now should never have bothered buying synetiq that's where it went downhill shocking place 0 stars,Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
